Date,Revenue,Expenses,Budget,Profit,ProfitMargin
2022-01-31,114755.10493530234,41647.69038521903,122716.48660495684,73107.41455008331,63.70733100832461
2022-02-28,100714.96882130802,60121.21226696721,109939.11021158755,40593.75655434081,40.30558419410689
2022-03-31,102834.13801522394,45946.452900510354,133903.65906921605,56887.68511471359,55.319844375310204
2022-04-30,139628.52040098878,97641.52262613982,53541.550978884385,41986.99777484896,30.070502540791537
2022-05-31,119999.1190667488,93345.7586024579,46268.97302808358,26653.36046429089,22.21129677582476
2022-06-30,121429.7101871135,90596.4039146555,65530.68219763892,30833.306272457994,25.391896451820834
2022-07-31,121733.83820914007,32251.39476619952,81452.20423065903,89482.44344294055,73.50663115477288
2022-08-31,72281.94621828612,85964.84255322603,115065.6990134762,-13682.896334939913,-18.929894739716303
2022-09-30,67515.4523324023,93430.88581274923,69230.15525118314,-25915.433480346925,-38.38444768577738
2022-10-31,95684.14883380811,79275.33315277995,69262.85855474457,16408.815681028165,17.148938336200604
2022-11-30,142873.84315385623,46079.87126773585,67698.37069757035,96793.97188612039,67.74786045468525
2022-12-31,71384.02418566277,58800.491939569016,55119.49584344287,12583.532246093753,17.62793900966585
2023-01-31,58992.21946839536,98505.07731098491,62316.18136739341,-39512.857842589554,-66.97977834815704
2023-02-28,135020.02678549266,53033.21720491536,129828.57165551356,81986.8095805773,60.721962165531465
2023-03-31,98562.10588950649,71687.03500658541,50675.053065764114,26875.070882921078,27.26714353389476
2023-04-30,137683.5591948775,67509.24386235047,60766.53427937173,70174.31533252704,50.967824875301346
2023-05-31,80733.39388651708,62276.71688898201,48516.18693165865,18456.67699753507,22.861267325734755
2023-06-30,88796.55461614179,45805.97633428318,111581.07729941586,42990.57828185861,48.41469183990571
2023-07-31,108144.57429409481,94438.70763356925,139681.7180752383,13705.866660525557,12.673651683396528
2023-08-31,61368.718051581505,72757.59892803163,55547.58293547401,-11388.880876450123,-18.558120876628976
2023-09-30,126788.01847991905,45406.43451084947,113832.92367206023,81381.58396906959,64.18712504916935
2023-10-31,81256.60398030069,32749.92198289502,77054.27229764778,48506.68199740567,59.69567963874704
2023-11-30,114601.04597522851,68352.27044139622,61798.62682004637,46248.77553383229,40.356329333878115
2023-12-31,74577.84837944571,36313.07019851984,134477.44835222058,38264.778180925874,51.3085038150175
