OrderID,Date,Product,Category,Region,Quantity,UnitPrice,TotalSales,Cost,Profit
1001,2023-04-13,Product C,Electronics,West,4,204.31,817.24,421.1958155424226,396.0441844575774
1002,2023-12-15,Product C,Groceries,West,1,74.54,74.54,48.28407618353294,26.255923816467067
1003,2023-09-28,Product A,Clothing,West,9,433.99,3905.91,2471.0040863477598,1434.90591365224
1004,2023-04-17,Product B,Electronics,West,8,87.06,696.48,418.1111199426251,278.3688800573749
1005,2023-03-13,Product B,Clothing,North,8,161.8,1294.4,800.4203214846447,493.97967851535543
1006,2023-07-08,Product D,Electronics,East,10,152.12,1521.2,1002.4436862514813,518.7563137485188
1007,2023-01-21,Product B,Furniture,South,6,436.99,2621.94,1437.8986594958512,1184.0413405041488
1008,2023-04-13,Product A,Clothing,West,7,339.62,2377.34,1596.618604383615,780.721395616385
1009,2023-05-02,Product C,Clothing,South,6,400.37,2402.2200000000003,1781.5576950273044,620.6623049726959
1010,2023-08-03,Product B,Groceries,North,9,132.73,1194.57,869.7046325698291,324.86536743017086
1011,2023-11-27,Product D,Clothing,West,3,316.19,948.5699999999999,518.0804497786118,430.4895502213882
1012,2023-03-29,Product B,Clothing,East,3,290.16,870.48,474.2156035261675,396.2643964738325
1013,2023-04-10,Product A,Furniture,South,3,418.09,1254.27,728.0439192694237,526.2260807305763
1014,2023-12-26,Product D,Clothing,West,10,453.98,4539.8,2761.6621127929125,1778.1378872070877
1015,2023-06-01,Product B,Furniture,North,3,15.96,47.88,29.807055971351446,18.072944028648557
1016,2023-05-11,Product D,Furniture,East,9,340.27,3062.43,2155.672544324082,906.7574556759178
1017,2023-05-30,Product A,Furniture,South,4,35.4,141.6,73.20778475840469,68.39221524159531
1018,2023-11-05,Product C,Furniture,South,7,278.94,1952.58,996.6003686453198,955.9796313546801
1019,2023-09-15,Product A,Electronics,West,9,150.94,1358.46,838.9484470010348,519.5115529989653
1020,2023-12-10,Product A,Groceries,East,7,160.32,1122.24,795.8354945594782,326.4045054405218
1021,2023-10-21,Product A,Electronics,East,9,182.95,1646.55,918.825289183499,727.724710816501
1022,2023-07-11,Product A,Clothing,East,3,314.43,943.29,653.1824286372629,290.1075713627371
1023,2023-10-04,Product C,Electronics,East,4,173.68,694.72,401.5123411969655,293.2076588030345
1024,2023-06-10,Product C,Electronics,North,8,369.02,2952.16,2260.8403900984736,691.3196099015263
1025,2023-11-10,Product D,Clothing,East,6,208.22,1249.32,960.3610083513508,288.9589916486491
1026,2023-01-22,Product B,Clothing,South,5,43.49,217.45000000000002,128.11853077129234,89.33146922870768
1027,2023-09-10,Product C,Clothing,South,4,394.04,1576.16,896.8320865740104,679.3279134259897
1028,2023-08-24,Product C,Electronics,North,8,150.02,1200.16,748.1691725345025,451.99082746549755
1029,2023-12-11,Product B,Electronics,South,1,222.06,222.06,127.05373314153115,95.00626685846885
1030,2023-02-18,Product C,Clothing,South,9,345.87,3112.83,2184.319979674114,928.5100203258858
1031,2023-02-28,Product A,Groceries,East,1,172.9,172.9,129.29797518751957,43.60202481248044
1032,2023-06-19,Product A,Groceries,South,8,37.73,301.84,211.8698386382725,89.97016136172746
1033,2023-07-07,Product B,Furniture,North,4,193.22,772.88,577.5771921010232,195.30280789897677
1034,2023-09-28,Product D,Clothing,East,9,472.78,4255.0199999999995,2634.2728770108138,1620.7471229891858
1035,2023-07-09,Product D,Furniture,West,5,324.45,1622.25,887.2005617197348,735.0494382802652
1036,2023-06-24,Product B,Groceries,East,3,339.02,1017.06,733.6921171680584,283.36788283194153
1037,2023-02-20,Product B,Furniture,North,9,319.82,2878.38,1750.464781832804,1127.9152181671961
1038,2023-12-30,Product A,Clothing,East,9,107.51,967.59,678.649481335037,288.94051866496307
1039,2023-02-24,Product D,Clothing,East,4,214.98,859.92,499.77964157668794,360.140358423312
1040,2023-09-01,Product C,Clothing,North,4,377.96,1511.84,792.7618633258361,719.0781366741638
1041,2023-11-16,Product A,Electronics,East,8,59.67,477.36,380.8256537682117,96.53434623178833
1042,2023-05-11,Product B,Furniture,North,2,146.15,292.3,159.84731023043426,132.45268976956575
1043,2023-11-03,Product D,Groceries,North,9,145.4,1308.6000000000001,1042.3343138101836,266.2656861898165
1044,2023-05-15,Product C,Groceries,West,6,221.69,1330.1399999999999,1055.0457388511802,275.09426114881967
1045,2023-01-21,Product C,Groceries,South,9,490.38,4413.42,3257.745808844946,1155.674191155054
1046,2023-11-25,Product A,Electronics,South,8,43.08,344.64,240.4990588955819,104.14094110441809
1047,2023-06-16,Product D,Electronics,East,7,264.16,1849.1200000000001,1245.0903718280858,604.0296281719143
1048,2023-10-01,Product D,Clothing,East,1,97.89,97.89,74.37980408311087,23.51019591688913
1049,2023-03-30,Product B,Groceries,West,3,485.63,1456.8899999999999,854.9494633956646,601.9405366043353
1050,2023-11-12,Product D,Electronics,West,2,65.52,131.04,83.90548382520548,47.13451617479451
1051,2023-01-14,Product D,Clothing,West,5,207.76,1038.8,712.4266900533767,326.3733099466233
1052,2023-08-30,Product A,Groceries,North,5,371.56,1857.8,1158.072899821102,699.7271001788979
1053,2023-09-22,Product D,Furniture,West,5,355.23,1776.15,1115.8590196297291,660.290980370271
1054,2023-12-12,Product C,Clothing,West,4,217.14,868.56,520.341615241683,348.2183847583169
1055,2023-02-22,Product A,Electronics,East,5,179.8,899.0,601.6733209598194,297.3266790401806
1056,2023-12-06,Product A,Electronics,West,3,204.83,614.49,464.04586251600267,150.44413748399734
1057,2023-04-02,Product B,Clothing,North,1,139.5,139.5,78.1839626195642,61.3160373804358
1058,2023-09-21,Product D,Clothing,North,5,110.61,553.05,431.56145762477723,121.48854237522272
1059,2023-02-04,Product B,Electronics,East,9,246.69,2220.21,1569.0807899185072,651.1292100814928
1060,2023-07-25,Product C,Furniture,West,9,141.58,1274.22,951.8193579183444,322.40064208165563
1061,2023-03-22,Product A,Groceries,West,4,150.86,603.44,402.4083134681963,201.03168653180376
1062,2023-02-19,Product A,Furniture,North,3,331.81,995.4300000000001,730.5012930295667,264.9287069704334
1063,2023-12-26,Product A,Clothing,West,1,484.58,484.58,244.6451165628277,239.9348834371723
1064,2023-01-02,Product C,Furniture,West,2,305.78,611.56,455.92661977345176,155.63338022654818
1065,2023-02-23,Product C,Electronics,West,8,47.72,381.76,195.47702325332884,186.28297674667115
1066,2023-04-16,Product B,Clothing,South,1,47.04,47.04,36.07845756723272,10.961542432767281
1067,2023-09-17,Product B,Groceries,East,8,476.2,3809.6,3038.494384564101,771.1056154358989
