VillageID,Population,VaccinationRate,MalnutritionRate,DistanceToHealthCenter_km,CleanWaterAccess
Village_1,3740,65.0874040182793,16.541190285707508,7.994442178024846,Yes
Village_2,2237,45.35494689091592,18.687904345124657,16.601819121329747,Yes
Village_3,2268,66.64216712055313,8.134339772444106,5.026571561944462,No
Village_4,3957,48.999988385008244,5.1573243154026605,1.4911254892472439,Yes
Village_5,555,60.28560647163772,5.9444185863817145,14.371885578413846,No
Village_6,4581,82.70261138250798,19.55696619098963,10.436185309099153,Yes
Village_7,949,83.65489293343259,8.958199540583209,17.036735426824993,No
Village_8,676,68.29340744863129,18.48125872557127,0.790429044897812,Yes
Village_9,559,76.4102173252935,16.492828653700077,11.311480384154663,Yes
Village_10,2522,44.26886523566566,6.939097562531737,6.227680589563165,No
Village_11,1887,39.91699187757128,16.550526811724406,8.827165341747897,No
Village_12,744,51.08067219801488,9.329241866234192,19.53323249907861,Yes
Village_13,4540,46.69551119247411,19.7615851950491,9.834562236508406,Yes
Village_14,1544,45.99320874640021,6.642240221625951,0.834827579854466,No
Village_15,1091,76.27145580372297,19.792468217308816,19.987098763331844,Yes
Village_16,3310,31.424829860471345,16.922906595761198,16.632975238146884,Yes
Village_17,2319,63.90699341668723,20.22577280978156,16.72510094107197,Yes
Village_18,3378,82.40801034070938,5.375180829840844,10.683038266571875,Yes
Village_19,3634,59.7208089528321,11.170306334959154,15.075052299934658,Yes
Village_20,2053,56.88056197054914,20.22206394743616,5.672280714939303,Yes
Village_21,2621,93.33170017570382,16.671957677908082,5.6027560274009005,Yes
Village_22,3849,70.10292803829148,21.887252091440367,18.647943140834645,Yes
Village_23,4765,87.57753708108936,18.818270651025028,16.67836531476325,Yes
Village_24,3415,63.43599087163223,6.471763918081603,8.1430814653909,Yes
Village_25,1290,33.59978453487698,11.940049481295247,15.297088869441888,Yes
Village_26,1273,92.05350190392616,10.437517611297336,1.353860354332091,Yes
Village_27,3200,76.59229943211864,22.928728633157107,18.7734478799925,Yes
Village_28,2900,58.516025683566866,24.900457312642864,17.64584284113425,Yes
Village_29,2288,34.9062651394126,6.569482379127328,11.24717684071813,No
Village_30,2473,47.480594952714895,21.07463604611803,9.356498812206858,No
Village_31,1952,80.65781286845984,20.222899379891018,8.948544203511586,Yes
Village_32,1343,65.52442884477117,24.98245669472376,9.043523944610925,Yes
Village_33,4710,75.5058023716146,8.267265564460233,7.123086779525292,Yes
Village_34,511,86.39122398922296,10.198080408501662,2.2573725953723422,Yes
Village_35,4305,79.53522535836976,8.237659503026517,5.881086561145826,No
Village_36,3695,34.67910520894627,15.959863661156444,17.262584739516676,No
Village_37,3477,38.779802437629556,24.721922291723907,17.18998628022801,Yes
Village_38,4864,48.43267687459409,14.833413124452955,6.132074712971043,No
Village_39,1984,86.33201401546265,20.45459969209596,3.64859273973114,Yes
Village_40,1612,42.58463834370619,19.916454014813514,15.097513638778508,Yes
Village_41,1126,31.608435665955508,17.27356940862588,17.84170104479204,No
Village_42,4572,62.14984272394275,8.27141082575886,17.573859769948236,Yes
Village_43,3327,54.00038339319883,5.6830178326067955,9.034404677613518,Yes
Village_44,945,67.98277723827286,23.236951022005925,15.914668684112645,Yes
Village_45,4095,49.8548101238781,11.511266599238372,7.266631310974124,Yes
Village_46,4311,66.92729395405252,7.927060925420086,18.836369154006253,Yes
Village_47,4710,93.94923463462128,17.24481982726001,12.226181902958713,Yes
Village_48,881,90.99176212229402,17.532886551373387,6.040431458166809,No
Village_49,1974,37.10377484112476,15.082431509399239,4.059396282380453,Yes
Village_50,815,72.47359069283742,7.4230552386559605,2.9810253739336456,Yes
Village_51,990,65.75226465422672,13.713740247116315,7.891708617607188,Yes
Village_52,1607,72.06255980815936,16.303233188169337,10.75716306321998,Yes
Village_53,4656,54.232543217497366,21.404923922817932,0.7025894864744598,No
Village_54,4700,50.349592005231145,14.770405239532822,3.3168038843858954,Yes
Village_55,3991,77.66825805234706,11.185587574814424,9.387378178602106,No
Village_56,3169,69.00055712847443,22.623030091056776,6.771775101993713,Yes
Village_57,4777,31.049790990285942,23.19176141801876,17.222866587318823,Yes
Village_58,529,35.66429488408924,9.646496669360655,11.791507338975897,Yes
Village_59,4189,75.60882456597204,24.642346963499662,1.8729777826339749,Yes
Village_60,2656,94.91121583431813,21.49923986244768,18.68529530366921,Yes
Village_61,2593,55.28990285379447,24.25841473316864,3.014606296689818,No
Village_62,2897,81.81309902468757,22.151326999653822,17.287931466103057,Yes
Village_63,4019,49.05904668779865,18.085443725368243,0.7224743231406816,No
Village_64,4115,60.22919711188909,22.15111738777631,13.460803751982217,Yes
Village_65,4159,59.98556199098826,11.217053232995195,0.570643133050867,No
Village_66,2386,80.664156955574,19.743400212689554,19.543744480428817,Yes
Village_67,3296,94.93806287248655,9.755130278420626,7.734565366721804,Yes
Village_68,4637,92.79484896559038,11.724691750353609,3.1372512920157734,Yes
Village_69,2351,69.10991982294314,19.719791380415987,18.554298894478897,Yes
Village_70,4431,79.93840502127742,23.032632263639883,14.374897407698617,No
Village_71,2777,43.43803521788385,15.56157912395826,10.401246046067477,No
Village_72,4761,87.60710392872534,13.022844025170299,19.683282006663955,Yes
Village_73,1684,57.50170916923082,8.427325540204576,3.7604704508734397,No
Village_74,3447,44.09117731844138,22.429054930852917,8.724151182807093,Yes
Village_75,4880,86.59010549152967,20.440801179369544,7.7675943845096045,Yes
Village_76,1441,37.752383064295095,8.28688071157595,0.5355775923371311,No
Village_77,2735,83.15840649925397,11.188297072760438,17.87638895099532,Yes
Village_78,3549,38.08341037786199,5.262599148003517,0.6391392169343603,No
Village_79,3897,35.79809887354084,19.719678793808463,4.660050127641806,Yes
Village_80,3489,59.02073883344731,23.00621973132019,15.325152039330506,Yes
Village_81,3995,55.801887830649065,18.54766163703661,3.5166733084799575,Yes
Village_82,4780,57.94058211662497,10.888891659792858,3.9351460790188715,Yes
Village_83,3236,47.46723498644636,21.721416691048724,0.9750796700018141,Yes
Village_84,834,48.990428655586214,12.482970251565604,4.82444769926239,Yes
Village_85,2903,37.044313646210824,6.7497640778836665,6.0102193631056835,No
Village_86,3343,30.600026054931458,8.83088098784449,15.537205875313823,Yes
Village_87,1885,75.0820483695904,14.464629319390394,11.7219582548548,No
Village_88,3886,63.158803464420146,19.83948073604983,1.3095604281980986,Yes
Village_89,3476,92.31092632142544,19.80775670033191,8.099774015394807,Yes
Village_90,1240,84.65947229645562,10.240314217048335,19.56944815184901,Yes
Village_91,2181,43.56181135157935,22.517006780196734,1.737491477489775,Yes
Village_92,513,86.91755602898962,22.713587251108237,7.9326590479247265,Yes
Village_93,2788,61.898764157905624,5.3634656615522,0.5590301662303818,Yes
Village_94,4267,30.536335071677666,21.57271414985795,19.361804311237396,Yes
Village_95,1037,38.9512191887463,9.126937021163554,15.20402331700884,Yes
Village_96,3966,72.58819372192872,12.550938998406611,16.215155997792685,Yes
Village_97,2707,40.126620703455536,6.669114637860824,18.54838251032962,Yes
Village_98,3470,62.03980365765301,11.937826390387094,10.260775972997246,Yes
Village_99,3051,65.43220760991855,15.048594220478936,2.8803303454934484,Yes
Village_100,1120,88.51479393178795,14.122449542029514,15.20870703286937,Yes
